SeniorCitizen,tenure,MonthlyCharges,TotalCharges,TotalServices,ChargesPerTenure,HasSecurityServices,HasStreamingServices,IsHighRiskCombo,CustomerValueScore,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureBucket_Intermediate,TenureBucket_LongTerm,TenureBucket_VeryLoyal,ChargeLevel_Medium,ChargeLevel_High,ChargeLevel_Premium,Churn_Probability,Actual_Churn,Tenure,Risk_Tier,Expected_Remaining_Tenure,CLV,Revenue_At_Risk,Retention_Strategy,Intervention_Cost,Success_Rate,Expected_Value_Saved,Net_ROI
0,1.0773199150760393,75.95,0.9846736532872615,1.0749139402886672,0.5357236235123449,1,1,0,0.8980467334302875,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,False,True,False,0.049378506668527285,0,59,Tier 4 - Low,1,72.2,3.75,No action needed — monitor monthly,0,0.0,0.0,0.0
0,-1.041648797332788,78.55,-0.7817975671565807,-0.3552818132689499,0.19746887530104842,0,0,1,-1.2663967529563467,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.8177059826386247,0,7,Tier 1 - Critical,25,357.98,1605.77,Personal retention call + Contract upgrade offer with 20% discount,60,0.4,642.31,582.31
0,0.8735729234982674,20.1,-0.537223443113938,-1.308745648974028,-1.2993343217982931,0,0,0,1.6151015253702259,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,0.019325575452786674,0,54,Tier 4 - Low,1,19.71,0.39,No action needed — monitor monthly,0,0.0,0.0,0.0
0,-1.2453957889105598,20.65,-0.9946188062718544,-1.308745648974028,-1.5194374558089314,0,0,0,-0.5155343418760472,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.4020201638328178,1,2,Tier 3 - Medium,30,370.45,249.05,Automated loyalty SMS + Satisfaction survey,5,0.2,49.81,44.81
0,1.5663126948626918,105.15,2.3086920446566555,1.0749139402886672,1.4920282926394697,1,1,0,0.9060863501770806,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,0.21384620788662076,0,71,Tier 4 - Low,1,82.66,22.49,No action needed — monitor monthly,0,0.0,0.0,0.0
0,1.1180693133915935,105.9,1.7995251957624885,1.0749139402886672,1.4897141772835176,1,1,1,0.4449250006735317,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,0.737744425315025,1,60,Tier 1 - Critical,1,27.77,78.13,Personal retention call + Contract upgrade offer with 20% discount,60,0.4,31.25,-28.75
0,0.01783555887162562,24.15,-0.6599060428021747,-1.308745648974028,-1.171328275996029,0,0,0,0.6915247835799745,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,0.08564887293455764,0,33,Tier 4 - Low,1,22.08,2.07,No action needed — monitor monthly,0,0.0,0.0,0.0
0,-1.041648797332788,20.65,-0.9431110123135474,-1.308745648974028,-1.3038782809441405,0,0,0,-0.311537656260303,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.31642499801180535,0,7,Tier 3 - Medium,25,352.9,163.35,Automated loyalty SMS + Satisfaction survey,5,0.2,32.67,27.67
0,-0.7564030091239073,87.25,-0.4584894730829597,0.12145010458358908,0.8040750264022125,1,1,1,-1.12427763042169,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,0.7669386808773192,1,14,Tier 1 - Critical,18,366.02,1204.48,Personal retention call + Contract upgrade offer with 20% discount,60,0.4,481.79,421.79
0,1.607062093178246,61.2,0.9178277875785714,1.0749139402886672,0.026384784278353602,1,1,0,1.671688058626501,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,False,False,True,True,False,False,0.07346864773990923,0,72,Tier 4 - Low,1,56.7,4.5,No action needed — monitor monthly,0,0.0,0.0,0.0
